,target,prime,RT,RT_std,acc,acc_std,path sim
2128,ask,parcel,477.3703703703704,145.46730254978647,1.0,0.0,0.0769230769230769
2129,ask,ad,535.4230769230769,172.08768241046695,1.0,0.0,0.0909090909090909
2130,ask,inquire,515.5166666666667,210.9580640844523,1.0,0.0,1.0
2131,ask,pray,489.73333333333335,155.5749454004842,1.0,0.0,0.25
2132,question,piano,556.6792452830189,133.8030661924321,1.0,0.0,0.0555555555555555
2133,question,sleeve,393.0,,1.0,,0.0625
2134,question,guess,540.578125,149.20272824939727,0.984375,0.125,0.0833333333333333
2135,question,culture,557.8730158730159,145.00405912711014,0.9841269841269841,0.1259881576697424,0.0833333333333333
2136,question,response,544.1969696969697,115.40460192090325,0.9848484848484849,0.12309149097933271,0.0714285714285714
2137,neck,glands,535.90625,153.84827804928517,1.0,0.0,0.2
2138,neck,cemetery,591.1929824561404,183.74890073495203,1.0,0.0,0.0769230769230769
2139,neck,cemetary,503.375,158.82941583136713,1.0,0.0,0.0
2140,neck,scarf,517.1607142857143,192.34096398991932,1.0,0.0,0.0769230769230769
2141,neck,mask,572.8888888888889,139.3665814503507,1.0,0.0,0.0909090909090909
2142,listen,childish,633.6829268292682,320.1114992486517,1.0,0.0,0.25
